Episode Type,Timestamp,Duration (sec),Intensity/Score
Yawn,2026-03-18 19:00:01.625131,-,0.46
Yawn,2026-03-18 19:00:01.643536,-,0.47
Yawn,2026-03-18 19:00:01.667219,-,0.436
Yawn,2026-03-18 19:00:02.068172,-,0.561
Yawn,2026-03-18 19:00:02.122093,-,0.543
Yawn,2026-03-18 19:00:02.140728,-,0.486
Yawn,2026-03-18 19:00:02.169289,-,0.503
Yawn,2026-03-18 19:00:02.237100,-,0.504
Yawn,2026-03-18 19:00:02.256006,-,0.514
Yawn,2026-03-18 19:00:02.278322,-,0.527
Yawn,2026-03-18 19:00:02.332676,-,0.409
Yawn,2026-03-18 19:00:16.274260,-,0.506
Yawn,2026-03-18 19:00:16.336628,-,0.497
Yawn,2026-03-18 19:00:16.356854,-,0.488
Yawn,2026-03-18 19:00:16.376474,-,0.483
Yawn,2026-03-18 19:00:16.426517,-,0.54
Yawn,2026-03-18 19:00:16.446636,-,0.477
Yawn,2026-03-18 19:00:16.475258,-,0.505
Yawn,2026-03-18 19:00:16.524717,-,0.505
Yawn,2026-03-18 19:00:16.543131,-,0.492
Yawn,2026-03-18 19:00:16.569724,-,0.503
Yawn,2026-03-18 19:00:16.637281,-,0.445
Yawn,2026-03-18 19:01:08.767144,-,0.593
Yawn,2026-03-18 19:01:08.827493,-,0.638
Yawn,2026-03-18 19:01:08.846832,-,0.6
Yawn,2026-03-18 19:01:08.866738,-,0.606
Yawn,2026-03-18 19:01:08.887275,-,0.612
Yawn,2026-03-18 19:01:08.937737,-,0.608
Yawn,2026-03-18 19:01:08.956996,-,0.592
Yawn,2026-03-18 19:01:09.035280,-,0.627
Yawn,2026-03-18 19:01:09.053529,-,0.57
Yawn,2026-03-18 19:01:09.071703,-,0.621
Yawn,2026-03-18 19:01:09.132455,-,0.564
Yawn,2026-03-18 19:01:09.151249,-,0.578
Yawn,2026-03-18 19:01:09.170891,-,0.552
Yawn,2026-03-18 19:01:09.226949,-,0.588
Yawn,2026-03-18 19:01:09.244613,-,0.569
Yawn,2026-03-18 19:01:09.262330,-,0.559
Yawn,2026-03-18 19:01:09.280278,-,0.563
Yawn,2026-03-18 19:01:09.339348,-,0.44
Yawn,2026-03-18 19:01:09.356097,-,0.422
Yawn,2026-03-18 19:01:16.768579,-,0.549
Yawn,2026-03-18 19:01:16.826646,-,0.589
Yawn,2026-03-18 19:01:16.845842,-,0.611
Yawn,2026-03-18 19:01:16.865827,-,0.598
Yawn,2026-03-18 19:01:16.888031,-,0.595
Yawn,2026-03-18 19:01:16.939647,-,0.553
Yawn,2026-03-18 19:01:16.958961,-,0.575
Yawn,2026-03-18 19:01:16.976820,-,0.57
Yawn,2026-03-18 19:01:17.036401,-,0.532
Yawn,2026-03-18 19:01:17.055883,-,0.573
Yawn,2026-03-18 19:01:17.131632,-,0.575
Yawn,2026-03-18 19:01:17.154829,-,0.605
Yawn,2026-03-18 19:01:17.173287,-,0.58
Yawn,2026-03-18 19:01:17.226563,-,0.572
Yawn,2026-03-18 19:01:17.248580,-,0.575
Yawn,2026-03-18 19:01:17.266865,-,0.578
Yawn,2026-03-18 19:01:17.286772,-,0.584
Yawn,2026-03-18 19:01:17.339129,-,0.537
Yawn,2026-03-18 19:01:17.355497,-,0.569
Yawn,2026-03-18 19:01:17.375592,-,0.573
Yawn,2026-03-18 19:01:17.436206,-,0.518
Yawn,2026-03-18 19:01:17.454115,-,0.553
Yawn,2026-03-18 19:01:17.530867,-,0.491
Yawn,2026-03-18 19:01:17.550427,-,0.448
Yawn,2026-03-18 19:01:17.569091,-,0.456
Yawn,2026-03-18 19:01:17.629583,-,0.416
Yawn,2026-03-18 19:01:17.651234,-,0.468
Yawn,2026-03-18 19:01:17.673724,-,0.476
Yawn,2026-03-18 19:01:17.695334,-,0.475
Yawn,2026-03-18 19:01:17.743041,-,0.455
Yawn,2026-03-18 19:01:17.762743,-,0.45
Yawn,2026-03-18 19:01:17.786288,-,0.432
Yawn,2026-03-18 19:01:17.837955,-,0.439
Yawn,2026-03-18 19:01:25.340970,-,0.646
Yawn,2026-03-18 19:01:25.359468,-,0.646
Yawn,2026-03-18 19:01:25.380490,-,0.644
Yawn,2026-03-18 19:01:25.439744,-,0.66
Yawn,2026-03-18 19:01:25.458881,-,0.664
Yawn,2026-03-18 19:01:25.532153,-,0.696
Yawn,2026-03-18 19:01:25.550251,-,0.658
Yawn,2026-03-18 19:01:25.568877,-,0.661
Yawn,2026-03-18 19:50:28.087922,-,0.596
Yawn,2026-03-18 19:50:28.135286,-,0.622
Yawn,2026-03-18 19:50:28.152977,-,0.613
Yawn,2026-03-18 19:50:28.215315,-,0.539
Yawn,2026-03-18 19:50:28.234590,-,0.56
Yawn,2026-03-18 19:50:28.280467,-,0.597
Yawn,2026-03-18 19:50:28.298827,-,0.576
Yawn,2026-03-18 19:50:28.341985,-,0.574
Yawn,2026-03-18 19:50:28.359603,-,0.605
Yawn,2026-03-18 19:50:28.408504,-,0.551
Yawn,2026-03-18 19:50:28.425622,-,0.607
Yawn,2026-03-18 19:50:28.470614,-,0.58
Yawn,2026-03-18 19:50:28.488597,-,0.627
Yawn,2026-03-18 19:50:28.533281,-,0.594
Yawn,2026-03-18 19:50:28.550438,-,0.614
Yawn,2026-03-18 19:50:28.613666,-,0.608
Yawn,2026-03-18 19:50:28.631631,-,0.622
Yawn,2026-03-18 19:50:28.677088,-,0.62
Yawn,2026-03-18 19:50:28.694212,-,0.643
Yawn,2026-03-18 20:37:52.997312,-,0.679
Yawn,2026-03-18 20:37:53.058379,-,0.633
Yawn,2026-03-18 20:37:53.060381,-,0.633
Yawn,2026-03-18 20:37:53.150589,-,0.646
Yawn,2026-03-18 20:37:53.150589,-,0.646
Yawn,2026-03-18 20:37:53.227885,-,0.62
Yawn,2026-03-18 20:37:53.231442,-,0.62
Yawn,2026-03-18 20:37:53.280766,-,0.617
Yawn,2026-03-18 20:37:53.281830,-,0.617
Yawn,2026-03-18 20:37:53.346591,-,0.583
Yawn,2026-03-18 20:37:53.349143,-,0.583
Yawn,2026-03-18 20:37:53.405058,-,0.58
Yawn,2026-03-18 20:37:53.407694,-,0.58
Yawn,2026-03-18 20:37:53.466869,-,0.624
Yawn,2026-03-18 20:37:53.469867,-,0.624
Yawn,2026-03-18 20:37:53.553320,-,0.543
Yawn,2026-03-18 20:37:53.553320,-,0.543
Yawn,2026-03-18 20:37:53.609373,-,0.527
Yawn,2026-03-18 20:37:53.613724,-,0.527
Yawn,2026-03-18 20:37:53.676852,-,0.427
Yawn,2026-03-18 20:37:53.677827,-,0.427
Yawn,2026-03-18 20:52:49.646126,-,0.649
Yawn,2026-03-18 20:52:49.663783,-,0.67
Yawn,2026-03-18 20:52:49.739056,-,0.681
Yawn,2026-03-18 20:52:49.756768,-,0.695
Yawn,2026-03-18 20:52:49.774469,-,0.691
Yawn,2026-03-18 20:52:49.836813,-,0.719
Yawn,2026-03-18 20:52:49.853993,-,0.709
Yawn,2026-03-18 20:52:49.872988,-,0.715
Yawn,2026-03-18 20:52:49.931738,-,0.727
Yawn,2026-03-18 20:52:49.951790,-,0.686
Yawn,2026-03-18 20:52:49.971301,-,0.697
Yawn,2026-03-18 20:52:50.026913,-,0.678
Yawn,2026-03-18 20:52:50.047066,-,0.683
Yawn,2026-03-18 20:52:50.067200,-,0.696
Yawn,2026-03-18 20:52:50.138371,-,0.713
Yawn,2026-03-18 20:52:50.156617,-,0.718
Yawn,2026-03-18 20:52:50.176048,-,0.71
Yawn,2026-03-18 20:52:50.235378,-,0.755
Yawn,2026-03-18 20:52:50.252907,-,0.758
Yawn,2026-03-18 20:52:50.271679,-,0.761
Yawn,2026-03-18 20:52:50.331030,-,0.757
Yawn,2026-03-18 20:52:50.360459,-,0.757
Yawn,2026-03-18 20:52:50.384668,-,0.769
Yawn,2026-03-18 20:52:50.427234,-,0.497
Yawn,2026-03-18 20:52:50.448996,-,0.522
Yawn,2026-03-18 20:52:50.469646,-,0.526
Yawn,2026-03-18 20:53:40.257772,-,0.656
Yawn,2026-03-18 20:53:40.275462,-,0.642
Yawn,2026-03-18 20:53:40.333300,-,0.596
Yawn,2026-03-18 20:53:40.352292,-,0.621
Yawn,2026-03-18 20:53:40.370035,-,0.647
Yawn,2026-03-18 20:53:40.454716,-,0.601
Yawn,2026-03-18 20:53:40.475840,-,0.612
Yawn,2026-03-18 20:53:40.495483,-,0.612
Yawn,2026-03-18 20:53:40.543246,-,0.658
Yawn,2026-03-18 20:53:40.561237,-,0.648
Yawn,2026-03-18 20:53:40.581248,-,0.657
Yawn,2026-03-18 20:53:40.636518,-,0.621
Yawn,2026-03-18 20:53:40.657276,-,0.594
Yawn,2026-03-18 20:53:40.675687,-,0.571
Yawn,2026-03-18 20:53:40.734935,-,0.577
Yawn,2026-03-18 20:53:40.752616,-,0.573
Yawn,2026-03-18 20:53:40.773304,-,0.548
Yawn,2026-03-18 20:53:40.791884,-,0.576
Yawn,2026-03-18 20:53:40.846696,-,0.523
Yawn,2026-03-18 20:53:40.869214,-,0.543
Yawn,2026-03-18 20:53:40.940483,-,0.518
Yawn,2026-03-18 20:53:40.961462,-,0.487
Yawn,2026-03-18 20:53:40.983839,-,0.543
Yawn,2026-03-18 20:53:41.039081,-,0.523
Yawn,2026-03-18 20:53:41.058398,-,0.529
Yawn,2026-03-18 20:53:41.077556,-,0.55
Yawn,2026-03-18 20:53:41.134491,-,0.431
Yawn,2026-03-18 20:53:41.153999,-,0.452
Yawn,2026-03-18 20:53:41.172649,-,0.468
Yawn,2026-03-18 20:53:41.192194,-,0.484
Yawn,2026-03-18 20:54:07.213464,-,0.676
Yawn,2026-03-18 20:54:07.233381,-,0.716
Yawn,2026-03-18 20:54:07.277715,-,0.684
Yawn,2026-03-18 20:54:07.341558,-,0.69
Yawn,2026-03-18 20:54:07.360385,-,0.665
Yawn,2026-03-18 20:54:07.405080,-,0.762
Yawn,2026-03-18 20:54:07.422208,-,0.736
Yawn,2026-03-18 20:54:07.471392,-,0.759
Yawn,2026-03-18 20:54:07.488527,-,0.723
Yawn,2026-03-18 20:54:07.504693,-,0.748
Yawn,2026-03-18 20:54:07.548475,-,0.745
Yawn,2026-03-18 20:54:07.566899,-,0.704
Yawn,2026-03-18 20:54:07.614575,-,0.742
Yawn,2026-03-18 20:54:07.636174,-,0.71
Yawn,2026-03-18 20:54:07.677878,-,0.541
